Company,Title,Date,URL,Description,Employees
Airbnb,"Airbnb to lay off nearly 1,900 people, 25% of company",5/5/2020 9:17:51 PM,https://www.cnbc.com/2020/05/05/airbnb-to-lay-off-nearly-1900-people-25percent-of-company.html,"Airbnb plans to lay off nearly 1,900 employees, or about 25 of the company, a person familiar with the plans confirmed to CNBC.The layoffs were first reported by The Information, which reported the news would be broken to employees by CEO Brian Chesky in a call starting around 3pm ET.""We are collec",1900
Box,"The coronavirus impact at the box office, 23andMe layoffs and the NFL's all-time earner",1/24/2020 11:26:34 PM,https://www.cnbc.com/video/2020/01/24/coronavirus-impact-23andme-lays-off-workers-and-nfls-all-time-earner.html,"The Wuhan coronavirus outbreak is expected to hit the box office hard, 23andMe lays off 100 workers amid a sales slump and Eli Manning retires as the NFL's all-time highest earner...that's the latest edition of Rapid Fire!",100
Alphabet,Alphabet to cut staff of health sciences unit Verily by 15%,1/11/2023 11:18:08 PM,https://www.cnbc.com/2023/01/11/alphabet-to-cut-staff-of-health-sciences-unit-verily-by-15percent.html,"In an email to employees on Wednesday, Verily CEO Stephen Gillett said the company will lay off 15 of its staff in a restructuring move, as it strives for financial independence from parent company Alphabet. The cuts will affect about 240 people, a Verily spokesperson confirmed.Verily, which specia",240
Tesla,Tesla to cut 9% of jobs in 'difficult but necessary' reorganization,6/12/2018 7:42:26 PM,https://www.cnbc.com/2018/06/12/tesla-to-cut-about-9-percent-of-jobs-across-company-report.html,"Tesla told employees Tuesday it will cut about 9 percent of its workforce, trimming mostly salaried positions. Since the start of the year, Tesla has added roughly 8,000 jobs and currently employs approximately 46,000 workers. Through this reorganization, it will shed about 4,100 jobs.In mid-May, Te",46000
Netflix,Netflix lays off 150 employees as the streaming service contends with big subscriber losses,5/17/2022 8:25:38 PM,https://www.cnbc.com/2022/05/17/netflix-lays-off-150-employees-as-the-streaming-service-contends-with-big-subscriber-losses.html,"Netflix is laying off around 150 employees across the company, CNBC confirmed Tuesday.The eliminated positions represent less than 2 of the streamer's 11,000 staffers, with most of the cuts happening in the U.S.""As we explained on earnings, our slowing revenue growth means we are also having to slo",150
PayPal,"PayPal to lay off 2,000 employees in coming weeks, about 7% of workforce",1/31/2023 9:31:36 PM,https://www.cnbc.com/2023/01/31/paypal-to-lay-off-2000-employees-in-coming-weeks-about-7percent-of-workforce.html,"PayPal on Tuesday announced plans to lay off 2,000 employees, or around 7 of its workforce, according to a release posted to the company's website.President and CEO Dan Schulman wrote in the release that PayPal is working to address the ""challenging macroeconomic environment."" He said the company h",2000
Zoom,"Zoom to lay off 1,300 employees, or about 15% of its workforce",2/7/2023 7:32:07 PM,https://www.cnbc.com/2023/02/07/zoom-to-lay-off-1300-employees-or-about-15percent-of-its-workforce.html,"Zoom on Tuesday announced plans to cut about 1,300 workers, or 15 of its workforce, according to a blog post on the company's website.Shares of Zoom closed up about 9.8.CEO Eric Yuan wrote in the blog post that as the world continues to adjust to life after the Covid pandemic, the company needs to",1300
Electric,General Electric's Subprime Unit to Lay Off Half its Staff,4/19/2007 8:30:24 PM,https://www.cnbc.com/id/18202723,"General Electric's WMC Mortgage subprime lending unit plans to lay off 771 workers, about half of its staff, a spokeswoman said. The layoffs will include the closing of facilities in Costa Mesa and San Ramon, California, as well as Addison, Texas. Following the cuts, WMC will employ about 700 people",771
Evernote,Evernote announces layoffs and office closures,10/1/2015 4:25:32 PM,https://www.cnbc.com/2015/10/01/evernote-announces-layoffs-and-office-closures-.html,"Notetaking app Evernote announced on Wednesday the layoff of 47 employees, as well as the closure of three of its global offices. The news came in a note from CEO Chris O'Neill posted on the Evernote website. ""We are grateful for the immense contributions of each and every affected person",47
Galactic,Want a ticket to space? Virgin Galactic is at your service,3/2/2017 4:40:36 PM,https://www.cnbc.com/video/2017/03/02/want-a-ticket-to-space-virgin-galactic-is-at-your-service.html,"More than 600 people have signed up for a $250,000 ticket to space. Virgin Galactic CEO George Whitesides talks to CNBC about the mission.",600
